S.No,Title,Date,Time,Venue,Room/Hall,Speakers,Description,Knowledge Partners
1,Inside India's Frontier Lab and Its Global South Impact,16 Feb 2026,9:30 AM - 10:30 AM,Bharat Mandapam,L1 Meeting Room No. 6,"Abhishek Upperwal, Soket AI; Dr. Mayank Singh, IIT Gandhinagar; Mr. Joseph Joshy, International Financial Services Centres Authority (IFSCA); Mr. Rangarajan V, Adani Defence & Aerospace; Mr. Sahil Arora, Qualcomm; Mr. Sunil Gupta, Yotta Data Services","This flagship session presents a first look at frontier AI developments, including a foundation model initiative. The showcase features applied systems, illustrating how frontier research translates into real-world impact. Joined by leaders across industry, infrastructure, and policy, the session highlights efforts to build end-to-end AI capabilities aligned with national priorities and broader relevance across emerging markets.",Soket Labs Technology and Research Private Limited
2,AI for Road Safety: Data-Driven Solutions for Enhancing Road Safety in India,16 Feb 2026,9:30 AM - 10:30 AM,Bharat Mandapam,L2 Audi 1,"Atul Singh, Centre of Excellence for Road Safety, IIT Madras; Dr. Priyadarshini Natarajan, Centre of Excellence for Road Safety, IIT Madras; Prof. Venkatesh Balasubramanian, Centre of Excellence for Road Safety, IIT Madras","This session explores how artificial intelligence can drive measurable impact in improving road safety across India. It highlights data-driven approaches for understanding crash patterns, predicting risks and enabling proactive interventions. The discussion focuses on scalable AI applications that support safer mobility, training drivers and building data driven hyperlocal models, aligning with Vikshit Bharat 2047 vision of technology-led impact for public good.","Centre of Excellence for Road Safety, IIT Madras"
3,AI and the Future of Skilling: Strengthening Human Capital and Transforming Higher Education Institutions,16 Feb 2026,9:30 AM - 10:30 AM,Bharat Mandapam,L1 Meeting Room No. 9,"Ashish Kulkarni, Indian Institute of Creative Technologies and National Chairman - AVGC-XR Forum | Pioneer of India's Creative Technology Ecosystem; Dr. Manish Kumar, NSDC, Championing AI First Solution for Skilling; Narayanan Ramaswamy, KPMG; Professor MS Vijay Kumar, MIT's Education Innovation Movement; Shankar Maruwada, EkStep Foundation","As AI transforms economies, developing strong human capital is increasingly important for workforce readiness. This session on ""AI and the Future of Skilling"" at the India AI Impact Summit 2026 will convene stakeholders from government, industry, and academia to discuss approaches to building an AI-ready workforce. The discussion will explore policy pathways, industry–academia collaboration, institutional AI readiness, future-focused skilling frameworks, and capacity-building across higher education to support employability, innovation, and broader adoption.... Read More",KPMG
4,From Vision to Action: Scaling Equitable AI Advisory Systems Through AGX AI,16 Feb 2026,9:30 AM - 10:30 AM,Bharat Mandapam,L1 Meeting Room No. 8,"Mr. David Bergvinson, DevGlobal; Mr. Michael Minkoff, Athena Infonomics; Ms. Julianna Drinan, Gates Foundation; Ms. Sophie Barrowman, DevGlobal","This interactive session convenes leaders advancing AI advisory systems in agriculture to explore AGX AI as a growing community of practice focused on responsibly scaling AI for small-scale producers. Drawing on work in benchmarking, data corpus development, and model approaches, the session highlights emerging learning priorities, key collaboration needs, and opportunities for participants to help shape the next phase of shared learning across regions and sectors.",DevGlobal
5,Embedding Trust in Innovation: AI Governance and Quality Infrastructure for Growth,16 Feb 2026,9:30 AM - 10:30 AM,Bharat Mandapam,West Wing Room 4 B,"Amanda Craig, Microsoft; Ashutosh Bahuguna, CERT-In; Chakravathy T Kannan, Quality Council of India; Jagdheesh Manian, Bureau Veritas; Richard Skalt, AIQI Consortium","This roundtable convenes policymakers, regulators, industry leaders, and global experts to shape trusted pathways for AI adoption. It examines how AI-enabled Quality Infrastructure can strengthen governance, accountability, and global acceptance. Through applied use cases and international perspectives, it highlights interoperable assurance frameworks that reduce compliance friction, boost MSME competitiveness, enable cross-border trade, and position India as a leader in responsible, innovation-driven AI growth for inclusive, secure, and scalable digital transformation.... Read More","TIC Council (Headquarters- Brussels, Belgium)"
6,Safe & Trusted AI at Scale,16 Feb 2026,9:30 AM - 10:30 AM,Bharat Mandapam,L1 Meeting Room No. 14,"Arvind Kumar, STPI; Arvind Kumar, STPI; Ashok Meena, Ministry of Jal Shakti; Ashok Meena, Ministry of Jal Shakti; Dr . Piyush Singla, Govt of J&K; Dr . Piyush Singla, Govt of J&K; Dr Rajiv KN, BWSSB; Dr Rajiv KN, BWSSB; Dr. Ravi Gupta, Elets Technomedia; Dr. Ravi Gupta, Elets Technomedia; Mohammed Safirulla, India AI Mission; Mohammed Safirulla, India AI Mission; Shikha Daihya, India AI Mission; Shikha Daihya, India AI Mission; Sid Sheth, d-MATRIX; Sid Sheth, d-MATRIX","As AI adoption accelerates from isolated pilots to enterprise-wide integration, attention is shifting toward the creation of safe, trusted, and scalable ecosystems. This high-impact session examines practical implementation frameworks, governance architectures, and leadership strategies that reconcile rapid innovation with accountability and risk management. The emphasis is on operationalising responsible AI in ways that deliver measurable outcomes while safeguarding security, regulatory compliance, and long-term resilience. By convening policymakers, industry leaders, and technology experts, the session advances a systems-level understanding of how AI can be deployed at scale to drive productivity, institutional trust, and inclusive growth in an increasingly AI-driven global economy.... Read More",Elets Technomedia Pvt Ltd
7,The Future of Employability in the Age of AI,16 Feb 2026,9:30 AM - 10:30 AM,Bharat Mandapam,West Wing Room 4 A,"Dr. V Anantha Nageswaran, GoI; Mr. Alok Agrawal, AI4India; Mr. Sanjeev Bhikchandani, InfoEdge; Mr. Sateesh Seetharamiah, EdgeVerve; Mr. Vineet Nayar, Sampark Foundation; Ms. Smita Prakash, ANI; Prof. Anurag Mairal, Stanford University of Medicine; Shashi Shekhar Vempati, AI4India","AI will create more job opportunities but also make many existing jobs redundant. This will also require skilling and re-skilling of workers across the spectrum. The Panel Discussion will focus on short-term and long-term impact of AI on employment, both at the industry level (e.g., manufacturing, healthcare, automobile) and function level (e.g., HR, sales, supply chain). Moreover, the panel will identify steps to be taken to mitigate the risks by enhancing opportunities.",DeepTech4Bharat Foundation
8,Harnessing AI to Transform India's Judicial Ecosystem,16 Feb 2026,9:30 AM - 10:30 AM,Bharat Mandapam,L1 Meeting Room No. 16,"Arya Tripathy, Cyril Amarchand Mangaldas; Dr. Aparajita Bhatt, National Law University Delhi; Mr. Vikas Mahendra, TERES; Sh. Rajnish Kumar, NeGD; Sh. Shardul Shroff, Shardul Amarchand Mangaldas","AI has the potential to revolutionise India's judicial system by enhancing efficiency, transparency, and accessibility. It can enable predictive analytics for informed decision-making, automate case management, facilitate legal research, and support virtual courts, leading to faster dispute resolution, reduced backlog, and improved access to justice. This session will examine the transformative potential of AI, assess implementation challenges, and explore strategies for leveraging technology to create an efficient, transparent, and inclusive judicial system.... Read More",National Law University Delhi
9,"Culturally - Grounded AI: How Social Norms Can Inform AI 
Systems",16 Feb 2026,9:30 AM - 10:30 AM,Bharat Mandapam,L1 Meeting Room No. 17,"Amita Yadav, Karya; Mohit Jain, PhD, Microsoft Research India, Bangalore; Philipp Zimmer, World Bank Group, Washington DC; Sharath Chandra Guntuku, PhD, University of Pennsylvania, School of Engineering and Applied Science; Sunny Rai, PhD, University of Pennsylvania, School of Engineering and Applied Science","AI systems deployed across diverse cultural contexts often fail not because of technical limitations, but because they overlook social norms—the unwritten rules that shape human behaviour and decision-making. A recommendation system that succeeds in the United States may not resonate in India. A health chatbot that effectively engages American users may alienate Indian communities if it does not reflect local expectations and communication styles. This research-focused session convenes leading scholarship and applied work examining how culturally grounded design, local data partnerships, and participatory methods can improve AI performance across contexts. The emphasis is on embedding social understanding into model development to ensure effectiveness, legitimacy, and equitable impact across geographies.... Read More",University of Pennsylvania
10,Leadership Talk: Harnessing AI for the Future of Learning and Work,16 Feb 2026,9:30 AM - 10:30 AM,Bharat Mandapam,L1 Meeting Room No. 18,"Dr. Matteo Zallio, University of Cambridge; Mustafa Furniturewala, Coursera; Rajiv Tandon, BITS Pilani - Digital; Sanjay Jain, Google; Tapish Bhatt, Coursera","This leadership talk explores how AI is reshaping global employment and redefining future skills. It highlights the need for continuous, skills-based learning to build resilient, future-ready talent, and examines how education systems, workforce strategies, and policy frameworks must align. Through real-world examples, it showcases practical, collaborative approaches to accelerating AI readiness and closing critical skills gaps.",Coursera India Pvt Ltd
